QTR	HWIND	UNEMR	ST	Q1	Q2	Q3	Q4
1	104.63	5.63	1	1	0	0	0
2	103.53	5.46	1	0	1	0	0
3	97.3	5.63	1	0	0	1	0
4	95.96	5.6	1	0	0	0	1
1	98.83	5.83	1	1	0	0	0
2	97.23	5.76	1	0	1	0	0
3	99.06	5.56	1	0	0	1	0
4	113.66	5.63	1	0	0	0	1
1	117	5.46	1	1	0	0	0
2	119.66	5.26	1	0	1	0	0
3	124.33	5.06	1	0	0	1	0
4	133	5.06	1	0	0	0	1
1	143.33	4.83	1	1	0	0	0
2	144.66	4.73	1	0	1	0	0
3	152.33	4.46	1	0	0	1	0
4	178.33	4.2	1	0	0	0	1
1	192	3.83	0	1	0	0	0
2	186	3.9	0	0	1	0	0
3	188	3.86	0	0	0	1	0
4	193.33	3.7	0	0	0	0	1
1	187.66	3.63	0	1	0	0	0
2	175.33	3.83	0	0	1	0	0
3	178	3.93	0	0	0	1	0
4	187.66	3.96	0	0	0	0	1
