K	L	Y	R	W	P
0.045	0.031	0.114	8.267	12.934	5.172
3.171	3.732	2.73	11.054	8.151	5.585
240.804	405.448	386.928	6.205	5.426	14.488
0.277	0.536	1.133	14.427	7.566	7.296
2.682	5.339	14.761	10.359	5.716	9.15
0.166	0.274	1.375	14.742	11.539	14.739
11.204	15.928	14.772	11.388	13.816	10.331
0.02	0.033	0.146	12.175	11.485	6.275
21.738	62.417	182.832	9.395	7.586	14.185
35.464	17.699	33.623	6.01	11.012	10.5
0.045	0.041	0.692	7.622	11.043	5.319
1.831	3.099	2.946	13.705	9.862	7.57
0.03	0.038	0.474	11.838	9.032	8.536
0.122	0.235	0.982	12.368	9.111	7.268
41.573	23.556	51.237	5.143	11.692	11.035
4.785	4.947	13.624	6.766	7.567	9.503
0.947	1.267	7.597	5.32	5.367	7.058
9.378	8.934	21.398	7.221	9.575	10.7
226.876	299.982	712.144	6.57	5.412	13.181
2.648	3.599	6.393	8.867	12.98	10.122
0.611	0.508	0.738	12.533	10.151	6.645
0.156	0.221	1.05	12.07	12.299	11.794
6.11	3.079	10.287	8.347	13.275	10.368
					
